ADDRESBR,ADDRESS,ASSET,BKCLASS,BKMO,BRCENM,BRNUM,BRSERTYP,BRSERTYPDESC,CALL,CB,CBSA_DIV_NAMB,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CITY2BR,CITYBR,CITYHCR,CLCODE,CNTRYNA,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DENOVO,DEPDOM,DEPSUM,DEPSUMBR,DIVISIONB,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,HCTMULT,ID,INSAGNT1,INSBRDD,INSBRTS,INSURED,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NAMEFULL,NAMEHCR,NECNAMB,NECTABR,OCCDIST,OCCNAME,PLACENUM,REGAGNT,RSSDHCR,RSSDID,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,SPECDESC,SPECGRP,STALP,STALPBR,STALPHCR,STCNTY,STCNTYBR,STNAME,STNAMEBR,STNUMBR,UNINUMBR,UNIT,USA,YEAR,ZIP,ZIPBR,ZIPBR_RAW,ZIP_RAW
2689 Se Burnside Rd,127 Public Sq,184963242,N,0,,1859,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Gresham,Gresham,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"42,007",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1859,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",S.E. Gresham Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,10/19/09,45.49398199,-122.405238,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,497265,0,1,6/30/24,44114,97080,97080,44114
6815 N Lombard St,127 Public Sq,184963242,N,0,,1871,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"24,477",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1871,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",St John'S Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,6/28/10,45.58678601,-122.736745,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,510435,0,1,6/30/24,44114,97203,97203,44114
3839 Ne Broadway St,127 Public Sq,184963242,N,0,,1891,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"36,747",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1891,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Hollywood Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,8/30/10,45.53536001,-122.623238,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,513386,0,1,6/30/24,44114,97232,97232,44114
4600 Se Woodstock Blvd,127 Public Sq,184963242,N,0,,1902,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"65,259",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1902,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Woodstock Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,2/14/11,45.47898501,-122.614968,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,518547,0,1,6/30/24,44114,97206,97206,44114
1532 Ne 181st Ave,127 Public Sq,184963242,N,0,,1912,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"26,912",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1912,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",181St & Harsey Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,9/27/10,45.53394599,-122.476898,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,520274,0,1,6/30/24,44114,97230,97230,44114
3515 Sw Troy St,127 Public Sq,184963242,N,0,,798,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"87,545",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_798,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,5/29/50,45.46849598,-122.713128,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,238543,0,1,6/30/24,44114,97219,97219,44114
1205 Ne 102nd Ave,127 Public Sq,184963242,N,0,,803,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"91,319",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_803,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Gateway Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/17/75,45.531575,-122.558434,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,192506,0,1,6/30/24,44114,97220,97220,44114
726 Se Morrison St,127 Public Sq,184963242,N,0,,805,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"60,719",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_805,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",East Morrison Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/5/70,45.51700201,-122.658255,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,248103,0,1,6/30/24,44114,97214,97214,44114
390 Nw Burnside Rd,127 Public Sq,184963242,N,0,,806,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Gresham,Gresham,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"94,768",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_806,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Gresham Mall Shopping Center Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,5/8/72,45.50947699,-122.43449,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,248105,0,1,6/30/24,44114,97030,97030,44114
825 Ne Multnomah St,127 Public Sq,184963242,N,0,,812,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"45,147",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_812,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Lloyd Center Tower Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,9/1/81,45.53194401,-122.657137,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,192516,0,1,6/30/24,44114,97232,97232,44114
2310 Nw Everett St,127 Public Sq,184963242,N,0,,851,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Multnomah,51,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"44,481",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_851,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",23Rd And Everett Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,11/3/34,45.52456701,-122.698738,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41051,Ohio,Oregon,41,273620,0,1,6/30/24,44114,97210,97210,44114
1500 Edgewater St Nw,127 Public Sq,184963242,N,0,,840,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Salem,Salem,CLEVELAND,3,United States,United States,Polk,53,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"36,456",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_840,DIF,,,CB,1,0,41420,"Salem, OR",West Salem Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,5/1/78,44.93815503,-123.0637714,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41053,Ohio,Oregon,41,242077,0,1,6/30/24,44114,97304,97304,44114
11665 Sw Pacific Hwy,127 Public Sq,184963242,N,0,,1652,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Tigard,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"42,178",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1652,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Tigard,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,8/1/99,45.43826401,-122.75531,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,357682,0,1,6/30/24,44114,97223,97223,44114
21327 Sw Sherwood Blvd,127 Public Sq,184963242,N,0,,1781,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Sherwood,Sherwood,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"40,153",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1781,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Sherwood Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,4/3/06,45.36590098,-122.848433,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,451422,0,1,6/30/24,44114,97140,97140,44114
6620 Sw Beaverton Hillsdale Hwy,127 Public Sq,184963242,N,0,,1908,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"56,907",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1908,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Raleigh Hills Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,5/16/11,45.48663798,-122.745029,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,520259,0,1,6/30/24,44114,97225,97225,44114
2898 Se 67th Ave,127 Public Sq,184963242,N,0,,1916,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Hillsboro,Hillsboro,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"46,845",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1916,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Reedville Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,4/18/11,45.49886898,-122.911704,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,521987,0,1,6/30/24,44114,97123,97123,44114
7345 Ne Butler St,127 Public Sq,184963242,N,0,,1929,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Hillsboro,Hillsboro,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"24,228",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_1929,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Orenco Station Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,,100,6/25/12,45.53753,-122.902871,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,531768,0,1,6/30/24,44114,97124,97124,44114
18650 Sw Boones Ferry Rd,127 Public Sq,184963242,N,0,,785,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Tualatin,Tualatin,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"69,525",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_785,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Tualatin Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,8/18/80,45.38433601,-122.760762,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,220225,0,1,6/30/24,44114,97062,97062,44114
4735 Sw Hall Blvd,127 Public Sq,184963242,N,0,,789,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Beaverton,Beaverton,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"75,551",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_789,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Beaverton Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,8/31/64,45.48498201,-122.804693,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,192494,0,1,6/30/24,44114,97005,97005,44114
350 S 1st Ave,127 Public Sq,184963242,N,0,,792,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Hillsboro,Hillsboro,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"51,566",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_792,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Hillsboro Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,9/23/57,45.51948901,-122.989515,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,192498,0,1,6/30/24,44114,97123,97123,44114
805 Nw Murray Blvd,127 Public Sq,184963242,N,0,,796,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Portland,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"62,197",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_796,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Sunset Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,1/20/69,45.52535399,-122.81513,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,192502,0,1,6/30/24,44114,97229,97229,44114
17455 Sw Farmington Rd,127 Public Sq,184963242,N,0,,807,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Beaverton,Aloha,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"96,062",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_807,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Farmington Mall Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,9/4/75,45.48110198,-122.857037,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,192507,0,1,6/30/24,44114,97007,97007,44114
2095 Nw 185th Ave,127 Public Sq,184963242,N,0,,845,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Hillsboro,Hillsboro,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"43,055",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_845,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Tanasbourne Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,8/1/90,45.53532799,-122.86809,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,220229,0,1,6/30/24,44114,97124,97124,44114
15805 Sw 116th Ave,127 Public Sq,184963242,N,0,,854,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,King City,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"45,838",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_854,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",King City Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,11/3/34,45.40550401,-122.797682,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,273625,0,1,6/30/24,44114,97224,97224,44114
12744 Sw North Dakota St,127 Public Sq,184963242,N,0,,860,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Portland,Tigard,CLEVELAND,3,United States,United States,Washington,67,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"63,207",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_860,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Greenway Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,6/15/95,45.44328598,-122.806142,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41067,Ohio,Oregon,41,220234,0,1,6/30/24,44114,97223,97223,44114
342 Ne 3rd St,127 Public Sq,184963242,N,0,,834,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,McMinnville,Mcminnville,CLEVELAND,3,United States,United States,Yamhill,71,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"62,229",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_834,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Mcminnville Main Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,01/01/1883,45.209761,-123.195906,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41071,Ohio,Oregon,41,1872,0,1,6/30/24,44114,97128,97128,44114
1815 E Portland Rd,127 Public Sq,184963242,N,0,,842,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Newberg,Newberg,CLEVELAND,3,United States,United States,Yamhill,71,,440,"Portland-Vancouver-Salem, OR-WA",0,149273809,0,"52,384",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_842,DIF,,,CB,1,0,38900,"Portland-Vancouver-Hillsboro, OR-WA",Newburg Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/20/81,45.30211101,-122.961962,EXACT,COMMERCIAL LENDING,4,OH,OR,OH,39035,41071,Ohio,Oregon,41,16382,0,1,6/30/24,44114,97132,97132,44114
4996 Library Rd,127 Public Sq,184963242,N,0,,2074,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Bethel Park,Bethel Park,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"123,439",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2074,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Hillcrest Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,1/29/55,40.34262599,-80.02710997,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217508,0,1,6/30/24,44114,15102,15102,44114
953 5th Ave,127 Public Sq,184963242,N,0,,2075,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Coraopolis,Coraopolis,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"48,023",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2075,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Coraopolis Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,4/1/61,40.51772001,-80.16447,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217515,0,1,6/30/24,44114,15108,15108,44114
100 W Allegheny Rd,127 Public Sq,184963242,N,0,,2076,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Imperial,Imperial,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"101,654",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2076,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Imperial Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,8/20/62,40.442052,-80.23845698,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217516,0,1,6/30/24,44114,15126,15126,44114
527 Chartiers Ave,127 Public Sq,184963242,N,0,,2077,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,McKees Rocks,Mckees Rocks,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"32,635",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2077,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Mckees Rocks Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,4/30/47,40.46480199,-80.05975002,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217520,0,1,6/30/24,44114,15136,15136,44114
122 Shiloh St,127 Public Sq,184963242,N,0,,2078,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Pittsburgh,Pittsburgh,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"39,148",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2078,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Mt Washington Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,3/16/54,40.43097301,-80.00750302,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217525,0,1,6/30/24,44114,15211,15211,44114
1020 Western Ave,127 Public Sq,184963242,N,0,,2079,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Pittsburgh,Pittsburgh,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"23,178",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2079,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Allegheny Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,6/4/62,40.45161001,-80.01989902,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217528,0,1,6/30/24,44114,15233,15233,44114
10 Old Clairton Rd,127 Public Sq,184963242,N,0,,2080,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Pittsburgh,Pittsburgh,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"1,752,432",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2080,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Pleasant Hills Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,6/1/64,40.33988201,-79.96547901,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217530,0,1,6/30/24,44114,15236,15236,44114
484 Lincoln Ave,127 Public Sq,184963242,N,0,,2082,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Pittsburgh,Pittsburgh,CLEVELAND,3,United States,United States,Allegheny,3,,430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",0,149273809,0,"66,906",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_2082,DIF,,,CB,1,0,38300,"Pittsburgh, PA",Bellevue Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,10/8/16,100,4/22/68,40.49556999,-80.05504099,EXACT,COMMERCIAL LENDING,4,OH,PA,OH,39035,42003,Ohio,Pennsylvania,42,217539,0,1,6/30/24,44114,15202,15202,44114
